Group,Best_Combination,Max_Clipiqa,Max_Score_Sum,Similarity,Threshold
0007,Wider_v2_prompt_version_2_cfg_scale_6_strength_0.7_steps_30_captioner_none_swindegrad_v1_swindegrad_pt_0020000,0.899664,3.43012173,0.398287,0.3
0013,Wider_v2_prompt_version_3_cfg_scale_8_strength_0.6_steps_100_captioner_none_swindegrad_v1_swindegrad_pt_0030000,0.843284,3.36421671,0.301881,0.3
0030,Wider_v2_prompt_version_3_cfg_scale_6_strength_0.7_steps_50_captioner_none_swindegrad_v1_swindegrad_pt_0020000,0.913098,3.38271198,0.487176,0.3
0034,Wider_v2_prompt_version_2_cfg_scale_8_strength_0.7_steps_75_captioner_none_swindegrad_v1_swindegrad_pt_0010000,0.8837,3.4724200400000003,0.367584,0.3
0047,Wider_v2_prompt_version_3_cfg_scale_7_strength_0.6_steps_30_captioner_none_swindegrad_v0,0.918332,3.45004708,0.357246,0.3
0057,Wider_v2_prompt_version_3_cfg_scale_6_strength_0.7_steps_50_captioner_none_swindegrad_v1_swindegrad_pt_0020000,0.880001,3.3461142300000004,0.592284,0.3
0065,Wider_v2_prompt_version_3_cfg_scale_5_strength_0.7_steps_30_captioner_none_swindegrad_v0,0.899429,3.48050647,0.532238,0.3
0084,Wider_v2_prompt_version_2_cfg_scale_4_strength_0.7_steps_50_captioner_none_swindegrad_v1_swindegrad_pt_0030000,0.921913,3.4219254699999997,0.396672,0.3
0087,Wider_v2_prompt_version_2_cfg_scale_8_strength_0.8_steps_75_captioner_none_swindegrad_v1_swindegrad_pt_0020000,0.921562,3.39843533,0.306731,0.3
0098,Wider_v2_prompt_version_3_cfg_scale_8_strength_0.8_steps_75_captioner_none_swindegrad_v1_swindegrad_pt_0020000,0.913212,3.3711503300000003,0.363749,0.3
0100,Wider_v2_prompt_version_2_cfg_scale_8_strength_0.8_steps_100_captioner_none_swindegrad_v1_swindegrad_pt_0030000,0.887722,3.44648931,0.630557,0.3
0102,Wider_v2_prompt_version_2_cfg_scale_7_strength_0.8_steps_50_captioner_none_swindegrad_v0,0.930023,3.4861549199999997,0.415854,0.3
0109,Wider_v2_prompt_version_3_cfg_scale_8_strength_0.9_steps_50_captioner_none_swindegrad_v1_swindegrad_pt_0030000,0.85467,3.3463809700000002,0.344679,0.3
0119,Wider_v2_prompt_version_2_cfg_scale_8_strength_0.8_steps_75_captioner_none_swindegrad_v0,0.853955,3.3512086500000002,0.308225,0.3
0129,Wider_v2_prompt_version_3_cfg_scale_8_strength_0.9_steps_75_captioner_none_swindegrad_v1_swindegrad_pt_0010000,0.89538,3.36334425,0.47452,0.3
0137,Wider_v2_prompt_version_3_cfg_scale_7_strength_0.6_steps_75_captioner_none_swindegrad_v0,0.891715,3.39744067,0.31975,0.3
0139,Wider_v2_prompt_version_2_cfg_scale_8_strength_1.0_steps_50_captioner_none_swindegrad_v0,0.935166,3.48659533,0.363054,0.3
0153,Wider_v2_prompt_version_3_cfg_scale_8_strength_1.0_steps_30_captioner_none_swindegrad_v1_swindegrad_pt_0010000,0.852167,3.43263221,0.58884,0.3
0165,Wider_v2_prompt_version_2_cfg_scale_6_strength_0.8_steps_100_captioner_none_swindegrad_v1_swindegrad_pt_0010000,0.899486,3.3762525,0.396469,0.3
0172,Wider_v2_prompt_version_3_cfg_scale_8_strength_0.9_steps_30_captioner_none_swindegrad_v1_swindegrad_pt_0020000,0.866903,3.3793087900000005,0.526939,0.3
0174,Wider_v2_prompt_version_2_cfg_scale_8_strength_0.9_steps_100_captioner_none_swindegrad_v1_swindegrad_pt_0030000,0.873276,3.3967095200000004,0.674226,0.3
0184,Wider_v2_prompt_version_2_cfg_scale_8_strength_0.8_steps_50_captioner_none_swindegrad_v1_swindegrad_pt_0010000,0.91498,3.4242856400000004,0.548853,0.3
0185,Wider_v2_prompt_version_2_cfg_scale_8_strength_0.6_steps_50_captioner_none_swindegrad_v1_swindegrad_pt_0030000,0.92228,3.4677528000000004,0.312088,0.3
0208,Wider_v2_prompt_version_2_cfg_scale_8_strength_0.7_steps_75_captioner_none_swindegrad_v1_swindegrad_pt_0020000,0.874694,3.43239804,0.408896,0.3
0218,Wider_v2_prompt_version_2_cfg_scale_8_strength_0.6_steps_50_captioner_none_swindegrad_v1_swindegrad_pt_0030000,0.888637,3.4699424700000003,0.424167,0.3
0223,Wider_v2_prompt_version_3_cfg_scale_7_strength_0.8_steps_100_captioner_none_swindegrad_v1_swindegrad_pt_0020000,0.887034,3.28718094,0.351204,0.3
0233,Wider_v2_prompt_version_3_cfg_scale_6_strength_0.6_steps_30_captioner_none_swindegrad_v1_swindegrad_pt_0010000,0.870267,3.36795363,0.361547,0.3
0240,Wider_v2_prompt_version_2_cfg_scale_5_strength_0.7_steps_30_captioner_none_swindegrad_v1_swindegrad_pt_0010000,0.852058,3.4127736300000002,0.719089,0.3
0299,Wider_v2_prompt_version_2_cfg_scale_8_strength_0.6_steps_30_captioner_none_swindegrad_v0,0.87616,3.4335614100000003,0.32583,0.3
0306,Wider_v2_prompt_version_2_cfg_scale_7_strength_1.0_steps_75_captioner_none_swindegrad_v1_swindegrad_pt_0010000,0.904569,3.4293222199999995,0.553648,0.3
0333,Wider_v2_prompt_version_3_cfg_scale_8_strength_1.0_steps_30_captioner_none_swindegrad_v0,0.869332,3.34876238,0.766456,0.3
0338,Wider_v2_prompt_version_2_cfg_scale_4_strength_0.7_steps_50_captioner_none_swindegrad_v1_swindegrad_pt_0010000,0.886189,3.3775345800000003,0.312173,0.3
