Group,Best_Combination,Max_Clipiqa,Max_Score_Sum,Similarity,Threshold
00002_00,final_v1_usm_0.3_enhance_False,0.890762,3.3332808700000003,0.40758,0.305
00003_00,final_v1_usm_1.0_enhance_False,0.921803,3.5530905,0.418861,0.305
00005_00,final_v1_usm_1.2_enhance_False,0.89031,3.4806494000000003,0.385759,0.305
00006_04,final_v1_usm_0.7_enhance_False,0.902819,3.4233903999999997,0.381029,0.305
00008_01,final_v1_usm_0.3_enhance_False,0.890966,3.36769803,0.327267,0.305
00009_00,final_v1_usm_1.0_enhance_False,0.830472,3.28203728,0.349417,0.305
00010_00,final_v1_usm_0.7_enhance_False,0.896881,3.4372314100000003,0.52391,0.305
00010_02,final_v1_usm_1.0_enhance_False,0.856104,3.3846435899999996,0.499772,0.305
00012_00,final_v1_usm_0.1_enhance_False,0.872711,3.41486709,0.865408,0.305
00017_00,final_v1_usm_1.0_enhance_False,0.872923,3.28885701,0.353541,0.305
00019_00,final_v1_usm_0.7_enhance_False,0.935352,3.46856762,0.309089,0.305
00019_03,final_v1_usm_1.0_enhance_False,0.905174,3.3755539199999998,0.308216,0.305
00020_00,final_v1_usm_0.7_enhance_False,0.88474,3.3443408299999997,0.735209,0.305
00024_02,final_v1_usm_1.0_enhance_False,0.87977,3.4895774900000003,0.314934,0.305
00028_01,final_v1_usm_0.7_enhance_False,0.873762,3.32622528,0.328242,0.305
00028_02,final_v1_usm_1.0_enhance_False,0.915883,3.44018115,0.471238,0.305
00028_03,final_v1_usm_0.1_enhance_False,0.910262,3.26871615,0.345243,0.305
00033_02,final_v1_usm_0.3_enhance_False,0.900422,3.4268003900000004,0.401253,0.305
00034_00,final_v1_usm_1.0_enhance_False,0.877409,3.3804013800000003,0.313434,0.305
00041_00,final_v1_usm_1.0_enhance_False,0.897847,3.33451785,0.55253,0.305
00043_00,final_v1_usm_1.0_enhance_False,0.920359,3.3621331199999998,0.349096,0.305
00044_01,final_v1_usm_1.0_enhance_False,0.900054,3.3568146399999996,0.530054,0.305
00048_00,final_v1_usm_1.0_enhance_False,0.874252,3.2746422600000002,0.410873,0.305
00049_01,final_v1_no_usm_enhance_False,0.874203,3.2374459,0.305107,0.305
00049_02,final_v1_usm_1.0_enhance_False,0.868344,3.3612487300000002,0.350404,0.305
00050_01,final_v1_usm_0.3_enhance_False,0.874016,3.40336733,0.45443,0.305
00065_02,final_v1_usm_0.1_enhance_False,0.884246,3.35851663,0.424804,0.305
00067_01,final_v1_usm_0.7_enhance_False,0.891963,3.33373936,0.783617,0.305
0007,final_v1_usm_0.3_enhance_False,0.906736,3.4356492100000002,0.395831,0.305
00071_01,final_v1_usm_0.1_enhance_False,0.838872,3.3892434399999996,0.426905,0.305
00072_00,final_v1_usm_0.3_enhance_False,0.906229,3.29367956,0.381324,0.305
00073_00,final_v1_usm_1.0_enhance_False,0.881077,3.29443673,0.329165,0.305
00076_02,final_v1_usm_1.0_enhance_False,0.883493,3.3834382,0.312993,0.305
00081_00,final_v1_usm_1.0_enhance_False,0.860915,3.2857093,0.309952,0.305
00085_02,final_v1_usm_1.0_enhance_False,0.927142,3.49100558,0.307844,0.305
00086_00,final_v1_usm_1.0_enhance_False,0.891791,3.30606462,0.375853,0.305
00087_01,final_v1_usm_1.0_enhance_False,0.896581,3.35018723,0.319285,0.305
00090_03,final_v1_usm_1.0_enhance_False,0.885306,3.36487206,0.380693,0.305
00092_01,final_v1_usm_0.3_enhance_False,0.900731,3.3920361100000003,0.350468,0.305
00096_02,final_v1_usm_0.3_enhance_False,0.901272,3.3972217000000002,0.562861,0.305
00097_00,final_v1_usm_0.1_enhance_False,0.879055,3.3209936,0.318649,0.305
00097_02,final_v1_usm_1.0_enhance_False,0.913792,3.4100218499999997,0.54862,0.305
00099_00,final_v1_usm_1.0_enhance_False,0.850508,3.28608968,0.378131,0.305
00100_01,final_v1_usm_1.0_enhance_False,0.938607,3.30724594,0.432005,0.305
00101_02,final_v1_usm_1.0_enhance_False,0.770798,3.1102472100000003,0.314912,0.305
00102_00,final_v1_usm_1.0_enhance_False,0.860709,3.2295940200000004,0.409724,0.305
00103_00,final_v1_usm_1.2_enhance_False,0.880938,3.20790372,0.314494,0.305
00105_02,final_v1_usm_1.0_enhance_False,0.860211,3.1872935799999995,0.312501,0.305
